Altium Designer Pick and Place Locations
D:\15. FL\1. Earthquake\3. Implement\PCB_EarthQuake\Project Outputs for IoT.QUAKE REV01\Pick Place\Pick Place for IoT.QUAKE REV01.txt

========================================================================================================================
File Design Information:

Date:       05-12-23
Time:       15:11
Revision:   672d04b27bd1044b35839a242c8c051e2854d334
Variant:    No variations
Units used: mm

Designator Comment                            Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                         
U2         NORA_W306                          TopLayer NORA_LGA82R_1430X1040X190_W3_ANT 57.5100      39.4560      360      "u-blox NORA-W306 Bluetooth LE and Wi-Fi module - antenna pin"                                                      
U1         CP2102-GM                          TopLayer QFN28_5X5_SIL                    41.2750      14.0970      270      "No Description Available"                                                                                          
Q4         FS8205A                            TopLayer SOP65P640X120-8N                 3.8100       28.0670      270      "MOSFET (N-Channel)"                                                                                                
R15        1K                                 TopLayer RES-SMD-0603                     41.5101      7.1120       360      Resistor                                                                                                            
Cx17       10V/22uF                           TopLayer CN-SMD-0805                      31.6231      36.9572      360      ""                                                                                                                  
U3         LM1117-3.3V                        TopLayer SOT223                           34.7980      51.4350      270      "800mA Low-Dropout Linear Regulator"                                                                                
TP19       "Test Point"                       TopLayer Test_Point_SMD                   49.5300      9.9060       90       "Test Point"                                                                                                        
TP18       "Test Point"                       TopLayer Test_Point_SMD                   33.7820      24.2570      90       "Test Point"                                                                                                        
TP17       "Test Point"                       TopLayer Test_Point_SMD                   30.9880      44.9580      270      "Test Point"                                                                                                        
TP16       "Test Point"                       TopLayer Test_Point_SMD                   52.1970      59.6900      270      "Test Point"                                                                                                        
TP15       "Test Point"                       TopLayer Test_Point_SMD                   52.1970      56.6420      90       "Test Point"                                                                                                        
TP14       "Test Point"                       TopLayer Test_Point_SMD                   52.1970      58.1660      90       "Test Point"                                                                                                        
TP13       "Test Point"                       TopLayer Test_Point_SMD                   52.1970      55.1180      270      "Test Point"                                                                                                        
TP12       "Test Point"                       TopLayer Test_Point_SMD                   37.9730      56.5150      90       "Test Point"                                                                                                        
TP11       "Test Point"                       TopLayer Test_Point_SMD                   44.3230      24.7650      90       "Test Point"                                                                                                        
